event_name,city,state,county,distance_mi,trip_type,month,typical_dates,attendance,food_vendor_fee,application_method,contact,url,status,notes,last_verified
Columbia Farmers Market,Columbia,MO,Boone,0,Hometown,Year-round,"Sat 8a-12p (Apr-Oct), Wed 4-7p (May-Aug), member Sat (Nov-Mar)",Steady local traffic,Not researched,Vendor membership application,columbiafarmersmarket.org,columbiafarmersmarket.org/how-to/become-a-vendor,Verified - eligibility caveat,At Agriculture Park (1769 W. Ash St). PRODUCER-ONLY market - caps non-farmer processors/artisans/service vendors at 20% of membership. May limit a hot-dog truck's eligibility/slots.,2026-06-17
True/False Film Fest,Columbia,MO,Boone,0,Hometown,March,Mar 5-8 (2026); Mar 4-7 (2027),Large (downtown crowds),Not researched,Contact organizer,573-442-TRUE,truefalse.org,Verified - vending unconfirmed,"Downtown venues (Ragtag, Jesse Hall, Missouri Theatre, Blue Note). A documentary FILM fest - food-truck friendliness NOT established. Worth a direct ask given the crowds.",2026-06-17
Fountain Fest,Kansas City,MO,Jackson,125,Day trip,April,Spring 2026 (food-truck registration to Mar 15),Small (selects ~5 trucks),No participation fee,Food-truck application at cityoffountains.org/fountain-fest-food-trucks (deadline ~Mar 15),jeff.coffkc@gmail.com / info@cityoffountains.org,cityoffountains.org,Verified - food trucks,"Dedicated food-truck festival; selects ~5 trucks; food trucks welcome. 2025 paused, relaunched for 2026.",2026-06-18
Columbia Area Earth Day Festival,Columbia,MO,Boone,0,Hometown,April,Apr 26 (rain date May 3); 12-6pm,200+ vendors (35th year),Not researched,Separate food-vendor application,comoearthday@gmail.com / 573-875-0539 (Laura),columbiaearthday.org,Verified - food-truck friendly,"At Peace Park / downtown. Explicitly food-truck-friendly (""the health permit you already have is all you need""). Booths expected to sell out - deadline ~Mar 31.",2026-06-17
Memphis in May / World Championship BBQ,Memphis,TN,Shelby,290,Overnight,May,Mid-May (May 13-16),Large,Not researched,Vendor application (annual),memphisinmay.org/vendor,memphisinmay.org/vendor,Plan for 2027,2026 application already CLOSED (deadline Feb 27) and 2026 event already occurred. Track for 2027 cycle.,2026-06-17
Hermann Maifest,Hermann,MO,Gasconade,75,Day trip,May,Mid-May (2027),Wine-country crowd,$50/space (covered booth),Vendor application via maifesthermann.org / maifest@visithermann.com (covered food booth ~$50),maifest@visithermann.com / Cindy 314-606-8932,maifesthermann.org,Verified - food vendors,"Hermann street festival, 3rd weekend of May: vendors, food, music.",2026-06-18
Wichita Riverfest,Wichita,KS,Sedgwick,280,Overnight,May-June,Late May - early June (May 29-Jun 6),Large (9-day),Not researched,Food & Beverage Vendor Application PDF,"Wichita Festivals Inc, 316-267-2817",wichitariverfest.com/food,Verified,Food Court + Douglas Street food vendors (ticketless/cashless).,2026-06-17
Sauce Food Truck Fridays,St. Louis,MO,St. Louis City,125,Day trip,May-Oct (8 Fridays),"May 1, May 29, Jun 12, Jun 26, Aug 7, Aug 21, Sep 11, Oct 2",20+ trucks (free admission),Not researched,Dedicated vendor app - apply per date,St. Louis Food Truck Association / Sauce Magazine,saucemagazine.com/food-truck-fridays-2026,Verified,At Tower Grove Park. Trucks rotate per date - apply for specific dates. Closest/easiest of the regional finds.,2026-06-17
Edwardsville Route 66 Festival,Edwardsville,IL,Madison,120,Day trip,June,Jun 13 (2026),Single-day,Not researched,2026 food vendor application via cityofedwardsville.com (fee due ~May 8),Edwardsville Parks & Rec / Parks@cityofedwardsville.com / 618-692-7538,cityofedwardsville.com,Verified - food vendors,"Route 66 festival in City Park: food vendors, roadside market, music.",2026-06-18
Moberly Railroad Days,Moberly,MO,Randolph,36,Day trip,June,Jun 3-6,Free admission (multi-day),Not researched,Dedicated food-vendor page,Moberly Rotary Club,railroaddays.com/events/food-vendors,Verified - food vendors,At Depot Park downtown. Carnival + nightly music + craft/food vendors + beer garden.,2026-06-17
